iter	Passed	Remaining
0	153	45755
1	154	23014
2	157	15600
3	161	11954
4	163	9621
5	167	8225
6	171	7164
7	175	6421
8	180	5821
9	181	5264
10	183	4809
11	187	4505
12	191	4235
13	194	3983
14	197	3746
15	201	3576
16	205	3414
17	207	3251
18	210	3112
19	215	3010
20	217	2890
21	218	2766
22	222	2681
23	225	2591
24	228	2516
25	233	2459
26	235	2379
27	238	2321
28	242	2267
29	244	2201
30	245	2133
31	249	2085
32	250	2029
33	254	1990
34	257	1950
35	259	1905
36	263	1869
37	266	1839
38	269	1806
39	273	1774
40	275	1740
41	279	1715
42	282	1689
43	283	1650
44	286	1625
45	290	1602
46	293	1578
47	296	1558
48	299	1532
49	302	1512
50	305	1489
51	307	1468
52	310	1445
53	312	1422
54	313	1397
55	315	1374
56	317	1351
57	318	1329
58	320	1310
59	322	1288
60	323	1267
61	324	1247
62	326	1227
63	327	1207
64	328	1187
65	329	1168
66	330	1149
67	331	1131
68	332	1114
69	334	1097
70	335	1080
71	336	1064
72	337	1048
73	338	1033
74	339	1019
75	340	1004
76	341	990
77	342	976
78	344	962
79	345	948
80	345	934
81	346	921
82	347	908
83	348	895
84	349	883
85	350	872
86	351	861
87	352	850
88	354	839
89	355	828
90	356	818
91	357	807
92	358	797
93	359	787
94	360	777
95	360	767
96	362	757
97	363	749
98	364	740
99	365	731
100	366	722
101	367	714
102	369	705
103	370	697
104	371	689
105	372	681
106	373	673
107	374	665
108	375	658
109	376	650
110	378	643
111	379	636
112	380	629
113	381	622
114	382	615
115	383	608
116	384	601
117	385	594
118	386	588
119	387	581
120	389	575
121	390	569
122	391	563
123	392	557
124	393	551
125	394	545
126	396	539
127	397	533
128	398	527
129	399	522
130	400	516
131	401	510
132	402	505
133	403	499
134	404	494
135	405	489
136	407	484
137	408	479
138	409	474
139	410	469
140	411	464
141	412	459
142	414	454
143	415	449
144	416	444
145	417	440
146	418	435
147	419	431
148	421	426
149	422	422
150	423	417
151	424	413
152	425	408
153	426	404
154	427	400
155	428	395
156	430	391
157	431	387
158	432	383
159	433	379
160	434	375
161	435	371
162	437	367
163	438	363
164	440	360
165	442	356
166	443	353
167	445	349
168	446	345
169	447	342
170	449	338
171	450	335
172	451	331
173	452	327
174	454	324
175	455	321
176	457	317
177	458	314
178	459	310
179	460	307
180	462	303
181	463	300
182	464	296
183	465	293
184	466	290
185	467	286
186	468	283
187	470	280
188	471	276
189	472	273
190	473	270
191	474	267
192	475	263
193	477	260
194	478	257
195	479	254
196	480	251
197	481	247
198	482	244
199	483	241
200	484	238
201	485	235
202	486	232
203	487	229
204	489	226
205	490	223
206	491	220
207	492	217
208	493	214
209	494	212
210	496	209
211	497	206
212	498	203
213	499	200
214	500	197
215	501	195
216	503	192
217	504	189
218	505	187
219	506	184
220	507	181
221	509	178
222	510	176
223	511	173
224	512	170
225	513	168
226	514	165
227	515	162
228	516	160
229	518	157
230	519	155
231	520	152
232	521	149
233	522	147
234	523	144
235	524	142
236	525	139
237	526	137
238	527	134
239	528	132
240	529	129
241	531	127
242	532	124
243	533	122
244	535	120
245	536	117
246	537	115
247	538	112
248	539	110
249	540	108
250	541	105
251	542	103
252	544	101
253	545	98
254	546	96
255	547	94
256	549	91
257	550	89
258	551	87
259	552	84
260	553	82
261	554	80
262	555	78
263	556	75
264	558	73
265	559	71
266	560	69
267	561	67
268	563	64
269	564	62
270	565	60
271	566	58
272	567	56
273	568	53
274	570	51
275	571	49
276	572	47
277	573	45
278	574	43
279	575	41
280	576	39
281	578	36
282	579	34
283	580	32
284	581	30
285	582	28
286	583	26
287	585	24
288	586	22
289	587	20
290	588	18
291	589	16
292	590	14
293	592	12
294	593	10
295	594	8
296	595	6
297	596	4
298	597	1
299	599	0
